Code,Description,Link
0x00000001,APC\_INDEX\_MISMATCH,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x1--apc-index-mismatch
0x00000002,DEVICE\_QUEUE\_NOT\_BUSY,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x2--device-queue-not-busy
0x00000003,INVALID\_AFFINITY\_SET,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x3--invalid-affinity-set
0x00000004,INVALID\_DATA\_ACCESS\_TRAP,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x4--invalid-data-access-trap
0x00000005,INVALID\_PROCESS\_ATTACH\_ATTEMPT,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x5--invalid-process-attach-attempt
0x00000006,INVALID\_PROCESS\_DETACH\_ATTEMPT,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x6--invalid-process-detach-attempt
0x00000007,INVALID\_SOFTWARE\_INTERRUPT,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x7--invalid-software-interrupt
0x00000008,IRQL\_NOT\_DISPATCH\_LEVEL,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x8--irql-not-dispatch-level
0x00000009,IRQL\_NOT\_GREATER\_OR\_EQUAL,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x9--irql-not-greater-or-equal
0x0000000A,IRQL\_NOT\_LESS\_OR\_EQUAL,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xa--irql-not-less-or-equal
0x0000000B,NO\_EXCEPTION\_HANDLING\_SUPPORT,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xb--no-exception-handling-support
0x0000000C,MAXIMUM\_WAIT\_OBJECTS\_EXCEEDED,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xc--maximum-wait-objects-exceeded
0x0000000D,MUTEX\_LEVEL\_NUMBER\_VIOLATION,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xd--mutex-level-number-violation
0x0000000E,NO\_USER\_MODE\_CONTEXT,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xe--no-user-mode-context
0x0000000F,SPIN\_LOCK\_ALREADY\_OWNED,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xf--spin-lock-already-owned
0x00000010,SPIN\_LOCK\_NOT\_OWNED,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x10--spin-lock-not-owned
0x00000011,THREAD\_NOT\_MUTEX\_OWNER,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x11--thread-not-mutex-owner
0x00000012,TRAP\_CAUSE\_UNKNOWN,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x12--trap-cause-unknown
0x00000013,EMPTY\_THREAD\_REAPER\_LIST,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x13--empty-thread-reaper-list
0x00000014,CREATE\_DELETE\_LOCK\_NOT\_LOCKED,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x14--create-delete-lock-not-locked
0x00000015,LAST\_CHANCE\_CALLED\_FROM\_KMODE,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x15--last-chance-called-from-kmode
0x00000016,CID\_HANDLE\_CREATION,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x16--cid-handle-creation
0x00000017,CID\_HANDLE\_DELETION,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x17--cid-handle-deletion
0x00000018,REFERENCE\_BY\_POINTER,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x18--reference-by-pointer
0x00000019,BAD\_POOL\_HEADER,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x19--bad-pool-header
0x0000001A,MEMORY\_MANAGEMENT,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x1a--memory-management
0x0000001B,PFN\_SHARE\_COUNT,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x1b--pfn-share-count
0x0000001C,PFN\_REFERENCE\_COUNT,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x1c--pfn-reference-count
0x0000001D,NO\_SPIN\_LOCK\_AVAILABLE,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x1d--no-spin-lock-available
0x0000001E,KMODE\_EXCEPTION\_NOT\_HANDLED,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x1e--kmode-exception-not-handled
0x0000001F,SHARED\_RESOURCE\_CONV\_ERROR,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x1f--shared-resource-conv-error
0x00000020,KERNEL\_APC\_PENDING\_DURING\_EXIT,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x20--kernel-apc-pending-during-exit
0x00000021,QUOTA\_UNDERFLOW,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x21--quota-underflow
0x00000022,FILE\_SYSTEM,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x22--file-system
0x00000023,FAT\_FILE\_SYSTEM,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x23--fat-file-system
0x00000024,NTFS\_FILE\_SYSTEM,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x24--ntfs-file-system
0x00000025,NPFS\_FILE\_SYSTEM,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x25--npfs-file-system
0x00000026,CDFS\_FILE\_SYSTEM,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x26--cdfs-file-system
0x00000027,RDR\_FILE\_SYSTEM,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x27--rdr-file-system
0x00000028,CORRUPT\_ACCESS\_TOKEN,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x28--corrupt-access-token
0x00000029,SECURITY\_SYSTEM,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x29--security-system
0x0000002A,INCONSISTENT\_IRP,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x2a--inconsistent-irp
0x0000002B,PANIC\_STACK\_SWITCH,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x2b--panic-stack-switch
0x0000002C,PORT\_DRIVER\_INTERNAL,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x2c--port-driver-internal
0x0000002D,SCSI\_DISK\_DRIVER\_INTERNAL,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x2d--scsi-disk-driver-internal
0x0000002E,DATA\_BUS\_ERROR,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x2e--data-bus-error
0x0000002F,INSTRUCTION\_BUS\_ERROR,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x2f--instruction-bus-error
0x00000030,SET\_OF\_INVALID\_CONTEXT,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x30--set-of-invalid-context
0x00000031,PHASE0\_INITIALIZATION\_FAILED,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x31--phase0-initialization-failed
0x00000032,PHASE1\_INITIALIZATION\_FAILED,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x32--phase1-initialization-failed
0x00000033,UNEXPECTED\_INITIALIZATION\_CALL,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x33--unexpected-initialization-call
0x00000034,CACHE\_MANAGER,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x34--cache-manager
0x00000035,NO\_MORE\_IRP\_STACK\_LOCATIONS,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x35--no-more-irp-stack-locations
